T-N(mg/L),Wtemp,Htemp,Ltemp,EC(μS/cm),DTN(mg/L),NO₃-N(mg/L),NH₃-N(mg/L),Chlorophyll-a(mg/㎥)
3.874,19,27.5,18.2,214,3.774,2.52,0.598,17.1
3.053,21,31.9,19.1,181,2.855,2.222,0.391,7.1
3.243,23,24.9,20.9,190,3.143,1.725,0.862,2.7
3.191,18,23.3,19.7,105,3.093,2.419,0.191,8.3
2.738,19,31.2,20.4,144,2.681,2.318,0.04,8.9
2.86,22.5,32.6,23.6,144,2.812,2.307,0.242,6.8
1.777,19.9,26.2,22.3,63,1.662,1.454,0.094,2.1
1.966,20.3,28.1,23.7,100,1.953,1.64,0.072,1.7
2.064,23.5,28.9,23.2,129,1.993,1.785,0.118,3.6
2.035,21.8,24.6,22.8,98,1.949,1.654,0.058,4
2.297,22.7,28.6,21.2,150,2.275,1.801,0.208,5.7
3.111,25.4,32.8,23.6,178,3.079,1.935,0.456,16.5
3.61,24.1,27.3,17.5,210,3.601,1.983,0.799,17.2
2.683,23.9,28.1,22.8,221,2.625,1.823,0.171,13.8
3.253,21.2,24,12.4,183,3.125,2.086,0.156,17.1
4.513,21,23.5,16.6,253,4.508,2.646,0.666,25.9
3.961,18.9,20.2,12.7,240,3.875,2.568,0.246,30.1
4.207,18.8,23.4,10.7,257,4.201,2.504,0.637,39
4.298,16.4,20.9,11,241,4.234,2.613,0.598,16.9
4.184,15.2,19.5,6.6,261,4.089,2.834,0.392,56.1
4.755,16.8,21.5,13.4,289,4.608,3.587,0.787,60.2
4.481,15.6,18.4,12.5,282,4.306,2.967,1.034,11.1
5.097,13.9,15.7,5.8,301,4.869,3.309,0.889,23.3
5.046,9.2,7.9,1.9,306,4.988,3.072,0.89,15.5
4.369,7.4,5.7,2.3,236,4.3,2.524,0.678,7.6
5.116,5.8,7.2,-1.1,240,5.065,2.708,0.986,5.4
4.841,2.6,5.2,-0.7,227,4.758,2.844,0.881,5.4
5.348,2.8,2.2,-4.1,250,5.21,3.025,1.171,15.5
6.133,2.8,-4.3,-9.6,263,5.793,2.888,1.779,20.1
4.917,1.2,-3.3,-8.1,266,4.853,3.014,1.278,15.7
5.586,3.3,5.4,-2.2,265,5.239,2.714,1.695,40.1
6.092,1.8,-5,-11.6,275,5.615,2.841,1.685,50.3
6.034,0.8,-8.1,-15.3,306,5.661,2.785,1.655,52
6.124,1.9,-3.8,-12.1,305,5.67,2.695,1.781,56.1
5.041,2.2,3,-4.1,271,4.822,2.414,1.362,50.1
4.699,4.1,12.1,-0.8,255,4.454,2.259,1.414,46.3
4.902,5.3,11.8,-1.5,238,4.693,2.119,1.813,42.9
4.551,6,7.7,-0.2,256,4.353,2.077,1.358,20.8
4.035,6.3,5.9,1.8,209,3.995,2.012,1.367,12.5
3.605,8.1,10.4,-0.5,195,3.365,1.918,1.022,30.4
3.745,8.2,15.8,6.4,198,3.509,2.011,0.813,32.7
3.652,8.2,12.8,2.2,193,3.448,2.04,0.631,27.8
4.345,10.9,16.9,11.5,178,4.251,2.876,0.748,10.1
3.586,13,21.3,9.2,186,3.329,2.204,0.422,35.6
3.455,12.9,20.7,10.5,168,3.233,2.144,0.55,14.3
3.472,18,29.1,19,172,3.31,2.227,0.657,52.7
3.379,18.8,27.4,15,175,3.195,2.572,0.344,24.7
3.873,20.2,22,12.7,201,3.678,2.039,0.889,22.8
3.448,20.5,27.8,18.3,206,3.397,1.925,0.745,27.1
3.387,20,23.6,18.6,206,3.34,2.138,0.679,10.8
3.74,22.9,29.1,18.6,224,3.626,2.268,0.487,29.6
3.915,23.7,28.9,18.3,240,3.758,2.288,1.063,35.2
3.041,25.3,31.3,21.3,230,2.906,2.059,0.486,17.6
3.852,26.1,31,19.3,251,3.652,2.379,0.782,31.4
3.089,24.6,27.4,22.6,219,3.023,1.854,0.437,23.2
3.798,22.7,26.5,21,178,3.629,2.695,0.372,8.4
3.229,21.4,28.4,24.7,143,3.067,2.443,0.1,4.8
3.327,26.1,32.1,24.2,160,3.246,2.62,0.114,20
3.215,27.8,35.3,25.9,169,3.104,2.456,0.162,18.6
3,28.6,34.3,25.6,175,2.949,2.266,0.138,26.9
2.503,23.9,27.1,22.4,138,2.487,1.823,0.206,7.8
2.509,22,24.6,20.3,101,2.394,1.918,0.067,1.3
2.565,22.3,29.1,21.7,127,2.362,1.945,0.09,0.2
2.533,22.2,26.1,19.2,123,2.504,1.911,0.178,2.2
2.809,21.2,24.8,19.6,142,2.68,2.217,0.256,2.1
2.869,20.5,25.2,17.7,153,2.815,2.15,0.306,4.2
3.289,21.4,25.4,17.5,149,3.259,2.278,0.22,18.6
3.382,20.8,26,15,189,3.331,2.818,0.193,22.3
3.435,18.6,20.3,12.6,206,3.343,2.653,0.189,16
3.937,17.4,17.6,8.1,208,3.866,2.851,0.3,18.1
3.332,16.4,18.4,9.5,205,3.292,2.556,0.184,6.6
2.968,14.4,12.4,5.8,182,2.908,2.309,0.16,6.5
3.289,12.3,12.5,4.1,198,3.187,2.563,0.115,13.6
3.377,9.9,6.7,-0.6,203,3.301,2.631,0.17,6
3.884,9.2,8.4,-0.4,209,3.707,2.874,0.307,2.9
3.552,7.3,10.2,-0.1,206,3.541,2.815,0.323,3.8
3.56,3.2,-0.8,-6.2,218,3.534,2.848,0.281,5.1
4.602,2.7,0,-9,228,4.486,3.274,0.733,5.5
3.963,1.9,-4,-9.2,235,3.87,2.987,0.618,2.9
4.082,1.2,1.5,-3.5,251,4.011,2.952,0.667,4.2
3.425,0.2,-4.8,-15.1,235,3.378,2.646,0.499,5.3
5.45,0.7,-6.4,-10.7,256,4.592,2.852,1.144,3.5
5.29,2.6,0.4,-5.8,288,5.186,2.786,1.958,7
4.19,1.7,3.8,1,265,4.066,2.629,1.244,7.9
4.826,2.2,8.5,3.5,269,4.82,2.668,1.65,15.9
4.179,1.4,0.2,-3.1,265,3.768,2.21,1.133,8
4.416,2.5,2.9,-6.3,212,4.338,2.323,1.671,7.5
3.856,2.5,0,-8.7,197,3.77,2.261,1.419,13.4
3.81,4.1,8.8,0.8,197,3.792,2.125,1.626,25.4
3.824,5.8,14.3,0.9,201,3.61,2.163,1.34,16.5
3.41,7.3,8.4,1.8,173,3.06,1.907,0.655,14.4
2.998,7.8,10.2,1.8,167,2.684,1.961,0.453,15.9
3.008,9.1,14.9,1.4,177,2.912,2.152,0.559,26.2
3.224,9.6,14.1,3.9,176,3.038,2.032,0.71,9.8
3.836,9.5,8.1,1.3,201,3.678,2.288,0.901,8.3
3.704,12.1,20.6,10.3,216,3.444,2.214,0.89,9.6
3.272,12.5,18,8.3,195,3.018,2.101,0.751,14.3
2.982,17.5,26.2,12.7,200,2.958,2.222,0.152,15.8
2.99,18.6,28.3,15.3,197,2.874,2.092,0.548,15.5
2.612,20.4,25.9,13.9,197,2.542,1.992,0.205,16.6
2.708,18.7,18.1,14.9,179,2.566,1.908,0.309,13.9
2.808,22.3,30.4,19.1,185,2.674,2.006,0.217,9.8
3.173,22.2,22.5,19.6,200,3.015,1.844,0.817,13
2.916,23,29.6,20.6,222,2.607,1.933,0.15,14.3
2.674,23.6,29.7,21.1,161,2.429,1.956,0.139,27.7
2.67,24.8,30.7,20.5,165,2.46,1.638,0.537,17.5
2.648,22.6,26.1,24.6,146,2.568,1.871,0.39,6
2.058,20.4,27.6,23.2,97,1.988,1.693,0.116,0.3
2.767,22.2,29,24.7,156,2.751,2.16,0.298,0.7
2.136,24.3,32.1,25,109,2.131,1.723,0.086,2.9
2.554,25.8,32,26.2,140,2.399,1.946,0.275,3.1
2.349,26.8,33.9,24.2,150,2.244,1.755,0.177,12.2
2.266,25.6,30.8,22.7,158,2.256,2.008,0.149,9.5
2.767,23.7,27.5,16.4,183,2.656,2.271,0.128,89.7
2.616,23.5,20.9,19.1,165,2.449,1.594,0.468,7.8
2.756,22.2,27,15.2,137,2.612,1.946,0.302,3.4
4.001,21.5,24.2,15.3,196,3.886,2.958,0.045,15.6
3.785,20.7,22.8,15,191,3.734,2.942,0.424,24.8
3.239,17.9,26.4,15.9,190,3.224,2.518,0.446,26.9
3.591,16.6,16.8,6.1,201,3.498,2.786,0.315,16.7
4.24,14.2,15.9,9,242,4.133,3.176,0.466,11.4
3.292,11.2,11.4,-0.9,215,3.286,2.652,0.341,8.1
4.09,8.3,5.9,-1.9,244,4.07,2.957,0.752,2.5
3.374,6.5,4.7,-4.3,225,3.222,2.665,0.385,5.9
4.438,6.5,9.6,2.1,291,4.316,3.289,0.654,5.3
4.51,6.1,0.2,-4.3,231,4.412,3.213,0.859,3.2
3.926,4.3,6.5,-0.9,268,3.864,3.04,0.499,3.2
4.672,3.5,2.7,-4,273,4.562,3.431,0.689,4.1
3.854,12.6,21.9,9.9,242,3.72,2.486,0.736,20.7
3.57,13.6,20,7.2,228,3.42,2.417,0.52,20.6
4.278,15.6,16.8,9.3,275,4.108,2.642,1.068,9.5
3.61,17.6,23.3,9.6,261,3.492,2.617,0.785,8.7
5.208,17.6,18.9,11.9,300,4.98,2.424,2.486,6.8
3.534,17.5,19.5,11.5,257,3.126,2.461,0.339,9.7
3.416,19.2,25.6,11.9,245,3.064,2.068,0.572,11.2
4.782,23.1,28.4,16.1,284,4.396,2.322,1.481,11.8
3.688,22.9,28.3,16.7,267,3.63,2.011,1.151,2.9
3.766,22.8,29.3,20,269,3.74,2.012,0.926,5.7
3.952,23.4,25.6,20.8,275,3.872,1.651,1.581,11
3.332,24.2,29,20.2,268,3.314,1.807,1.111,12.9
5.008,25.8,31.1,22.1,278,4.966,1.44,2.798,30
3.104,26.7,29.3,23.7,258,3.008,1.78,0.922,27.5
4.282,25.1,28.6,18.3,240,4.098,1.9,1.265,19.8
2.694,24,24.4,20.9,192,2.436,1.57,0.256,13.4
3.866,25.3,30.7,19.8,196,3.846,2.47,0.375,27.7
3.814,25.1,27.6,18,228,3.592,2.54,0.526,28.5
3.418,24.5,29.2,17.5,230,3.304,2.6,0.308,33.4
3.61,23.8,22.6,17.6,245,3.32,2.36,0.485,13.2
3.946,22.8,29,18.1,252,3.724,2.36,0.742,16.4
4.088,20.3,23.6,10,306,3.896,2.99,0.562,31.6
4.36,18.5,20,8.9,310,4.074,2.98,0.54,10.4
2.872,17.3,18.7,10.4,229,2.494,1.87,0.323,4.2
3.892,15.7,19.4,2.7,293,3.8,1.87,0.498,10
4.666,15.2,18.5,5.4,280,4.35,1.45,0.807,3.1
3.106,11.4,4.3,-3.1,301,3.094,1.92,0.986,5.1
4.974,11.4,10.4,1.7,336,4.708,1.69,0.898,2.1
5.194,10.9,15.1,6.6,335,5.044,1.46,1.019,1.8
5.898,12.5,14.9,10,354,5.838,2.484,2.489,22.9
4.208,11.8,12.2,5.5,286,4.146,2.229,1.096,8.9
4.356,13,17,5.6,288,4.146,2.444,0.92,5.6
3.758,13.5,20.9,7.7,272,3.528,2.299,0.882,6.9
4.786,21,26.9,12.3,248,4.614,2.254,1.486,22.7
4.336,18.2,22,9.8,232,4.07,2.365,0.938,33.1
4.21,19.6,24.1,14.4,226,4.046,2.078,0.721,20.8
4.69,20.5,16.2,13,258,4.644,2.462,1.402,15.2
4.548,23.7,30.3,14.1,262,4.514,2.39,1.067,36.4
3.862,23.7,29.8,18.1,262,3.852,2.282,0.986,21.9
3.974,24,30.2,20.7,266,3.91,2.058,1.335,8.2
3.628,25.2,30.9,20,264,3.582,1.644,0.843,31.3
4.478,25.9,31,19.7,291,4.254,1.9,1.489,44.6
3.93,26,29.3,20.4,314,3.91,2.221,1.003,51.4
5.346,25.7,31.8,22.1,353,5.247,3.117,1.116,26.9
4.095,25.7,28.9,20.6,301,4.075,1.663,1.627,20.9
6.685,26.8,32.1,24.9,363,6.435,3.079,1.698,30.9
2.952,26.3,33.1,25.5,190,2.604,1.72,0.627,8.1
2.433,26.5,31.5,25.6,102,2.322,1.958,0.346,21.5
3.65,28.7,32,23.9,215,3.35,2.17,0.522,37
4.355,27.3,28.1,24.2,272,4.17,2.84,1.116,37
4.9,26.4,30,21.2,342,4.89,3.185,1.092,41.6
5.835,26.6,31.2,21,374,5.538,3.756,1.468,23.2
4.375,24.4,28.4,17,345,4.355,2.878,1.224,22.9
6.52,23.9,27.6,15.5,403,6.02,3.12,1.187,9.6
5.985,24.3,30.6,17.5,413,5.54,3.664,1.188,34.7
5.421,21.3,26.4,15.7,374,5.388,3.492,1.146,46.5
6.495,19.2,26.1,12.1,396,6.095,4.43,1.013,20.7
6.66,19.5,22.7,13.9,420,6.525,4.36,0.963,25
6.98,16.2,14.7,3.2,390,6.665,3.948,1.509,14
6.575,15.3,15.2,6.1,372,6.545,4.648,0.585,14.3
8.52,14,12.1,9.8,415,8.175,4.56,2.617,10.5
4.625,13.6,14,10.7,334,4.45,2.784,0.843,3.8
6.72,10,11,6.5,407,6.685,3.898,1.711,4.2
6.415,7.7,8.5,0.9,392,6.32,3.988,1.333,4.1
6.125,8.1,6.7,-3.4,432,5.975,3.188,1.054,10
6.312,8,6.4,2.6,434,6.201,4.24,1.599,15.5
8.1,5.8,5,-0.2,455,8.04,5.284,2.279,33.5
8.868,4.1,-1,-9.5,502,8.601,6.204,2.311,45.4
11.028,5.6,5.3,-2.5,546,10.572,6.784,2.762,86.1
10.461,3.6,0.9,-6.5,543,9.801,7.024,2.173,153.7
12.605,1,0.4,-12.3,585,12.51,7.958,3.679,73.5
13.185,0.1,-3.4,-14.3,589,12.57,8.34,3.477,43.5
12.44,1.1,-1,-9.1,598,12.275,8.1,3.992,36.2
12.22,3.7,5.5,-4.3,607,12.185,7.18,0.805,48.8
8.71,5,-2.3,-10,445,8.235,4.74,2.797,17
8.08,4.3,4.2,-2.2,437,7.915,4.445,1.984,26.6
12.755,8.8,-1.1,-5.9,510,12.555,6.408,4.013,47.6
4.715,5.4,12.2,4.8,271,4.61,2.984,0.728,32.7
6.355,9.3,9.6,1.3,303,5.675,3.813,1.326,25
5.24,10.5,16.1,5.5,273,5,3.214,0.716,35.4
6.525,12.7,17.4,2.3,335,5.865,3.718,1.293,39
6.04,14.2,19.8,5.1,330,5.5,3.194,1.841,27.7
5.465,15.1,19.4,5.7,306,4.785,2.914,1.412,19
3.6,15,18.6,7.1,255,3.185,2.336,0.463,13.5
4.19,16.1,25.3,10.2,261,3.815,2.642,0.788,31.2
3.681,16.1,28.4,16.5,231,3.657,1.917,0.901,16.3
3.285,18,25.4,16.3,244,2.88,2.273,0.343,16.5
2.58,20.8,21.9,10.8,228,2.265,2.012,0.238,22
3.13,21.1,29.4,18.3,220,3.025,1.881,0.529,8.5
3.39,23.5,27.6,17.4,255,3.055,2.343,0.413,30.7
